科目番号,科目名,,単位数,,,,,,,,,,,,,,,
0ABACM9,文化人類学演習IIB,,1.0,,,,,,,,,,,,,,,
0ABACN0,民俗学・文化人類学実習A,,2.0,,,,,,,,,,,,,,,
0ABACN1,民俗学・文化人類学実習B,,2.0,,,,,,,,,,,,,,,
0ABACP0,修士論文演習A,,1.0,,,,,,,,,,,,,,,
0ABACP1,修士論文演習B,,1.0,,,,,,,,,,,,,,,
0ABACQ0,エジプト学研究特講A,,1.0,,,,,,,,,,,,,,,
0ABACQ1,エジプト学研究特講B,,1.0,,,,,,,,,,,,,,,
0ABAE03,文学批評研究(2A),,1.0,,,,,,,,,,,,,,,
0ABAE04,文学批評研究(2B),,1.0,,,,,,,,,,,,,,,
0ABAE05,文学研究発表演習A,,1.0,,,,,,,,,,,,,,,
0ABAE06,文学研究発表演習B,,1.0,,,,,,,,,,,,,,,
0ABAE07,文学理論研究(1A),,1.0,,,,,,,,,,,,,,,
0ABAE08,文学理論研究(1B),,1.0,,,,,,,,,,,,,,,
0ABAE09,文学理論研究(2A),,1.0,,,,,,,,,,,,,,,
0ABAE11,文学理論研究(2B),,1.0,,,,,,,,,,,,,,,
0ABAE12,文学交流論演習(1A),,1.0,,,,,,,,,,,,,,,
0ABAE13,文学交流論演習(1B),,1.0,,,,,,,,,,,,,,,
0ABAE14,文学交流論演習(2A),,1.0,,,,,,,,,,,,,,,
0ABAE15,文学交流論演習(2B),,1.0,,,,,,,,,,,,,,,
0ABAE16,比較文学研究(1A),,1.0,,,,,,,,,,,,,,,
0ABAE17,比較文学研究(1B),,1.0,,,,,,,,,,,,,,,
0ABAE18,比較文学研究(2A),,1.0,,,,,,,,,,,,,,,
0ABAE19,比較文学研究(2B),,1.0,,,,,,,,,,,,,,,
0ABAE21,古典古代学研究(1A),,1.0,,,,,,,,,,,,,,,
0ABAE22,古典古代学研究(1B),,1.0,,,,,,,,,,,,,,,
0ABAE23,古典古代学研究(2A),,1.0,,,,,,,,,,,,,,,
0ABAE24,古典古代学研究(2B),,1.0,,,,,,,,,,,,,,,
0ABAE25,古典古代学演習(1A),,1.0,,,,,,,,,,,,,,,
0ABAE26,古典古代学演習(1B),,1.0,,,,,,,,,,,,,,,
0ABAE27,古典古代学演習(2A),,1.0,,,,,,,,,,,,,,,
0ABAE28,古典古代学演習(2B),,1.0,,,,,,,,,,,,,,,
0ABAE34,日本中古文学研究(1A),,1.0,,,,,,,,,,,,,,,
0ABAE35,日本中古文学研究(1B),,1.0,,,,,,,,,,,,,,,
0ABAE36,日本中古文学研究(2A),,1.0,,,,,,,,,,,,,,,
0ABAE37,日本中古文学研究(2B),,1.0,,,,,,,,,,,,,,,
0ABAE38,日本近代文学研究(1A),,1.0,,,,,,,,,,,,,,,
0ABAE39,日本近代文学研究(1B),,1.0,,,,,,,,,,,,,,,
0ABAE41,日本近代文学研究(2A),,1.0,,,,,,,,,,,,,,,
0ABAE42,日本近代文学研究(2B),,1.0,,,,,,,,,,,,,,,
0ABAE47,英語圏文学文化研究(1A),,1.0,,,,,,,,,,,,,,,
0ABAE48,英語圏文学文化研究(1B),,1.0,,,,,,,,,,,,,,,
0ABAE49,英語圏文学文化研究(2A),,1.0,,,,,,,,,,,,,,,
0ABAE51,英語圏文学文化研究(2B),,1.0,,,,,,,,,,,,,,,
0ABAE52,フランス文学研究(1A),,1.0,,,,,,,,,,,,,,,
0ABAE53,フランス文学研究(1B),,1.0,,,,,,,,,,,,,,,
0ABAE54,フランス文学研究(2A),,1.0,,,,,,,,,,,,,,,
0ABAE55,フランス文学研究(2B),,1.0,,,,,,,,,,,,,,,
0ABAE61,Transnational Literature (1),,1.0,,,,,,,,,,,,,,,
0ABAE62,Applied Humanities (1),,1.0,,,,,,,,,,,,,,,
0ABAE63,Transnational Literature (2),,1.0,,,,,,,,,,,,,,,
0ABAE64,Applied Humanities (2),,1.0,,,,,,,,,,,,,,,
0ABAE65,中国文学研究(1A),,1.0,,,,,,,,,,,,,,,
0ABAE66,中国文学研究(1B),,1.0,,,,,,,,,,,,,,,
0ABAE67,中国文学研究(2A),,1.0,,,,,,,,,,,,,,,
0ABAE68,中国文学研究(2B),,1.0,,,,,,,,,,,,,,,
0ABAE69,日本上代文学研究(1A),,1.0,,,,,,,,,,,,,,,
0ABAE70,日本上代文学研究(1B),,1.0,,,,,,,,,,,,,,,
0ABAE71,日本上代文学研究(2A),,1.0,,,,,,,,,,,,,,,
0ABAE72,日本上代文学研究(2B）,,1.0,,,,,,,,,,,,,,,
0ABAE73,デジタル人文学研究(1A),,1.0,,,,,,,,,,,,,,,
0ABAE74,デジタル人文学研究(1B),,1.0,,,,,,,,,,,,,,,
0ABAE75,デジタル人文学研究(2A),,1.0,,,,,,,,,,,,,,,
0ABAE76,デジタル人文学研究(2B),,1.0,,,,,,,,,,,,,,,
0ABAE91,文学研究演習A,,2.0,,,,,,,,,,,,,,,
0ABAE92,文学研究演習B,,2.0,,,,,,,,,,,,,,,
0ABAE97,海外研究実習,,1.0,,,,,,,,,,,,,,,
0ABAG10,歴史言語学A,,1.0,,,,,,,,,,,,,,,
0ABAG11,歴史言語学B,,1.0,,,,,,,,,,,,,,,
0ABAG12,生成統語論A,,1.0,,,,,,,,,,,,,,,
0ABAG13,生成統語論B,,1.0,,,,,,,,,,,,,,,
0ABAG14,認知意味論A,,1.0,,,,,,,,,,,,,,,
0ABAG15,認知意味論B,,1.0,,,,,,,,,,,,,,,
0ABAG16,対照言語学A,,1.0,,,,,,,,,,,,,,,
0ABAG17,対照言語学B,,1.0,,,,,,,,,,,,,,,
0ABAG18,認知意味論C,,1.0,,,,,,,,,,,,,,,
0ABAG19,認知意味論D,,1.0,,,,,,,,,,,,,,,
0ABAG20,音韻論A,,1.0,,,,,,,,,,,,,,,
0ABAG21,音韻論B,,1.0,,,,,,,,,,,,,,,
0ABAG22,形態論A,,1.0,,,,,,,,,,,,,,,
0ABAG23,形態論B,,1.0,,,,,,,,,,,,,,,
0ABAG24,音声学A,,1.0,,,,,,,,,,,,,,,
0ABAG25,音声学B,,1.0,,,,,,,,,,,,,,,
0ABAG30,日本語文法論IA,,1.0,,,,,,,,,,,,,,,
0ABAG31,日本語文法論IB,,1.0,,,,,,,,,,,,,,,
0ABAG32,日本語文法論IIA,,1.0,,,,,,,,,,,,,,,
0ABAG33,日本語文法論IIB,,1.0,,,,,,,,,,,,,,,
0ABAG40,日本語談話論A,,1.0,,,,,,,,,,,,,,,
0ABAG41,日本語談話論B,,1.0,,,,,,,,,,,,,,,
0ABAG44,古典日本語学A,,1.0,,,,,,,,,,,,,,,
0ABAG45,古典日本語学B,,1.0,,,,,,,,,,,,,,,
0ABAG50,英語統語論A,,1.0,,,,,,,,,,,,,,,
0ABAG51,英語統語論B,,1.0,,,,,,,,,,,,,,,
0ABAG52,英語統語論C,,1.0,,,,,,,,,,,,,,,
0ABAG53,英語統語論D,,1.0,,,,,,,,,,,,,,,
0ABAG54,英語意味論 A,,1.0,,,,,,,,,,,,,,,
0ABAG55,英語意味論B,,1.0,,,,,,,,,,,,,,,
0ABAG56,英語意味論C,,1.0,,,,,,,,,,,,,,,
0ABAG57,英語意味論D,,1.0,,,,,,,,,,,,,,,
0ABAG60,生成統語論C,,1.0,,,,,,,,,,,,,,,
0ABAG61,生成統語論D,,1.0,,,,,,,,,,,,,,,
0ABAG66,ドイツ語学A,,1.0,,,,,,,,,,,,,,,
0ABAG67,ドイツ語学B,,1.0,,,,,,,,,,,,,,,
0ABAG68,ドイツ語学C,,1.0,,,,,,,,,,,,,,,
0ABAG69,ドイツ語学D,,1.0,,,,,,,,,,,,,,,
0ABAG70,中国語学A,,1.0,,,,,,,,,,,,,,,
0ABAG71,中国語学B,,1.0,,,,,,,,,,,,,,,
0ABAG72,中国語学C,,1.0,,,,,,,,,,,,,,,
0ABAG73,中国語学D,,1.0,,,,,,,,,,,,,,,
0ABAG76,韓国語学A,,1.0,,,,,,,,,,,,,,,
0ABAG77,韓国語学B,,1.0,,,,,,,,,,,,,,,
0ABAG78,韓国語学C,,1.0,,,,,,,,,,,,,,,
0ABAG79,韓国語学D,,1.0,,,,,,,,,,,,,,,
0ABAG80,言語政策論A,,1.0,,,,,,,,,,,,,,,
0ABAG81,言語政策論B,,1.0,,,,,,,,,,,,,,,
0ABAG90,日本語教育学IA,,1.0,,,,,,,,,,,,,,,
0ABAG91,日本語教育学IB,,1.0,,,,,,,,,,,,,,,
0ABAG92,日本語教育学IIA,,1.0,,,,,,,,,,,,,,,
0ABAG93,日本語教育学IIB,,1.0,,,,,,,,,,,,,,,
0ABAG96,外国語教育学A,,1.0,,,,,,,,,,,,,,,
0ABAG97,外国語教育学B,,1.0,,,,,,,,,,,,,,,
0ABAG98,外国語教育学C,,1.0,,,,,,,,,,,,,,,
0ABAG99,外国語教育学D,,1.0,,,,,,,,,,,,,,,
0ABAGA0,言語情報論A,,1.0,,,,,,,,,,,,,,,
0ABAGA1,言語情報論B,,1.0,,,,,,,,,,,,,,,
0ABAGA2,コーパス言語学,,1.0,,,,,,,,,,,,,,,
0ABAGX0,プロジェクト演習(1A),,2.0,,,,,,,,,,,,,,,
0ABAGX1,プロジェクト演習(1B),,2.0,,,,,,,,,,,,,,,
0ABAGX2,プロジェクト演習(2A),,2.0,,,,,,,,,,,,,,,
0ABAGX3,プロジェクト演習(2B),,2.0,,,,,,,,,,,,,,,
0ABAGY0,プロジェクト実習(1A),,1.0,,,,,,,,,,,,,,,
0ABAGY1,プロジェクト実習(1B),,1.0,,,,,,,,,,,,,,,
0ABAGY2,プロジェクト実習(2A),,1.0,,,,,,,,,,,,,,,
0ABAGY3,プロジェクト実習(2B),,1.0,,,,,,,,,,,,,,,
0ABAJA1,ヨーロッパ文化学IA,,1.0,,,,,,,,,,,,,,,
0ABAJA3,ヨーロッパ文化学IB,,1.0,,,,,,,,,,,,,,,
0ABAJA5,ヨーロッパ文化学IIA,,1.0,,,,,,,,,,,,,,,
0ABAJA7,ヨーロッパ文化学IIB,,1.0,,,,,,,,,,,,,,,
0ABAJB1,文化現象学IA,,1.0,,,,,,,,,,,,,,,
0ABAJB3,文化現象学IB,,1.0,,,,,,,,,,,,,,,
0ABAJB5,文化現象学IIA,,1.0,,,,,,,,,,,,,,,
0ABAJB7,文化現象学IIB,,1.0,,,,,,,,,,,,,,,
0ABAJC1,文化構造学I,,2.0,,,,,,,,,,,,,,,
0ABAJC3,文化構造学II,,2.0,,,,,,,,,,,,,,,
0ABAJD1,文化動態学IA,,1.0,,,,,,,,,,,,,,,
0ABAJD3,文化動態学IB,,1.0,,,,,,,,,,,,,,,
0ABAJD5,文化動態学IIA,,1.0,,,,,,,,,,,,,,,
0ABAJD7,文化動態学IIB,,1.0,,,,,,,,,,,,,,,
0ABAJE1,文化差異学IA,,1.0,,,,,,,,,,,,,,,
0ABAJE3,文化差異学IB,,1.0,,,,,,,,,,,,,,,
0ABAJE5,文化差異学IIA,,1.0,,,,,,,,,,,,,,,
0ABAJE7,文化差異学IIB,,1.0,,,,,,,,,,,,,,,
0ABAJF1,文化批評学I,,2.0,,,,,,,,,,,,,,,
0ABAJF3,文化批評学II,,2.0,,,,,,,,,,,,,,,
0ABAJG1,文化生成学IA,,1.0,,,,,,,,,,,,,,,
0ABAJG3,文化生成学IB,,1.0,,,,,,,,,,,,,,,
0ABAJG5,文化生成学IIA,,1.0,,,,,,,,,,,,,,,
0ABAJG7,文化生成学IIB,,1.0,,,,,,,,,,,,,,,
0ABAJH1,感性文化学IA,,1.0,,,,,,,,,,,,,,,
0ABAJH3,感性文化学IB,,1.0,,,,,,,,,,,,,,,
0ABAJH5,感性文化学IIA,,1.0,,,,,,,,,,,,,,,
0ABAJH7,感性文化学IIB,,1.0,,,,,,,,,,,,,,,
0ABAJJ1,文化横断学IA,,1.0,,,,,,,,,,,,,,,
0ABAJJ3,文化横断学IB,,1.0,,,,,,,,,,,,,,,
0ABAJJ5,文化横断学IIA,,1.0,,,,,,,,,,,,,,,
0ABAJJ7,文化横断学IIB,,1.0,,,,,,,,,,,,,,,
0ABAJK1,芸術文化学I,,2.0,,,,,,,,,,,,,,,
0ABAJK3,芸術文化学II,,2.0,,,,,,,,,,,,,,,
0ABAJL1,イメージ文化学IA,,1.0,,,,,,,,,,,,,,,
0ABAJL3,イメージ文化学IB,,1.0,,,,,,,,,,,,,,,
0ABAJL5,イメージ文化学IIA,,1.0,,,,,,,,,,,,,,,
0ABAJL7,イメージ文化学IIB,,1.0,,,,,,,,,,,,,,,
0ABAJM1,社会文化学IA,,1.0,,,,,,,,,,,,,,,
0ABAJM3,社会文化学IB,,1.0,,,,,,,,,,,,,,,
0ABAJM5,社会文化学IIA,,1.0,,,,,,,,,,,,,,,
0ABAJM7,社会文化学IIB,,1.0,,,,,,,,,,,,,,,
0ABAJN1,異文化地域学IA,,1.0,,,,,,,,,,,,,,,
0ABAJN3,異文化地域学IB,,1.0,,,,,,,,,,,,,,,
0ABAJN5,異文化地域学IIA,,1.0,,,,,,,,,,,,,,,
0ABAJN7,異文化地域学IIB,,1.0,,,,,,,,,,,,,,,
0ABAJO1,文化関係学I,,2.0,,,,,,,,,,,,,,,
0ABAJO3,文化関係学II,,2.0,,,,,,,,,,,,,,,
0ABALA1,英語教育学IA,,1.0,,,,,,,,,,,,,,,
0ABALA2,英語教育学IB,,1.0,,,,,,,,,,,,,,,
0ABALA3,英語教育学IIA,,1.0,,,,,,,,,,,,,,,
0ABALA4,英語教育学IIB,,1.0,,,,,,,,,,,,,,,
0ABALB1,英語教育学IIIA,,1.0,,,,,,,,,,,,,,,
0ABALB2,英語教育学IIIB,,1.0,,,,,,,,,,,,,,,
0ABALB3,英語教育学IVA,,1.0,,,,,,,,,,,,,,,
0ABALB4,英語教育学IVB,,1.0,,,,,,,,,,,,,,,
0ABALC1,英語教育学VA,,1.0,,,,,,,,,,,,,,,
0ABALC2,英語教育学VB,,1.0,,,,,,,,,,,,,,,
0ABALC3,英語教育学VIA,,1.0,,,,,,,,,,,,,,,
0ABALC4,英語教育学VIB,,1.0,,,,,,,,,,,,,,,
0ABALD1,英語教育学VIIA,,1.0,,,,,,,,,,,,,,,
0ABALD2,英語教育学VIIB,,1.0,,,,,,,,,,,,,,,
0ABALD3,英語教育学VIIIA,,1.0,,,,,,,,,,,,,,,
0ABALD4,英語教育学VIIIB,,1.0,,,,,,,,,,,,,,,
0ABALE1,英語教育学IXA,,1.0,,,,,,,,,,,,,,,
0ABALE2,英語教育学IXB,,1.0,,,,,,,,,,,,,,,
0ABALE3,英語教育学XA,,1.0,,,,,,,,,,,,,,,
0ABALE4,英語教育学XB,,1.0,,,,,,,,,,,,,,,
0ABALF1,英語教育学XIA,,1.0,,,,,,,,,,,,,,,
0ABALF2,英語教育学XIB,,1.0,,,,,,,,,,,,,,,
0ABALF3,英語教育学XIIA,,1.0,,,,,,,,,,,,,,,
0ABALF4,英語教育学XIIB,,1.0,,,,,,,,,,,,,,,
0ABALH1,英文法研究I,,1.0,,,,,,,,,,,,,,,
0ABALH2,英文法研究II,,1.0,,,,,,,,,,,,,,,
0ABALJ1,英語圏の文化・文学I,,1.0,,,,,,,,,,,,,,,
0ABALJ2,英語圏の文化・文学II,,1.0,,,,,,,,,,,,,,,
0ABALK1,英語教育学特講ⅠA,,1.0,,,,,,,,,,,,,,,
0ABALK2,英語教育学特講ⅠB,,1.0,,,,,,,,,,,,,,,
0ABALK3,英語教育学特講ⅡA,,1.0,,,,,,,,,,,,,,,
0ABALK4,英語教育学特講ⅡB,,1.0,,,,,,,,,,,,,,,
0ABALL1,英語教育学演習I,,1.0,,,,,,,,,,,,,,,
0ABALL2,英語教育学演習II,,1.0,,,,,,,,,,,,,,,
0ABALM1,英語教育学演習III,,1.0,,,,,,,,,,,,,,,
0ABALM2,英語教育学演習IV,,1.0,,,,,,,,,,,,,,,
0ABALN1,英語教育学演習V,,1.0,,,,,,,,,,,,,,,
0ABALN2,英語教育学演習VI,,1.0,,,,,,,,,,,,,,,
0ABALO1,英語教育学演習VII,,1.0,,,,,,,,,,,,,,,
0ABALO2,英語教育学演習VIII,,1.0,,,,,,,,,,,,,,,
0ABALP1,英語教育学演習IX,,1.0,,,,,,,,,,,,,,,
0ABALP2,英語教育学演習X,,1.0,,,,,,,,,,,,,,,
0ABALQ1,英語教育学演習XI,,1.0,,,,,,,,,,,,,,,
0ABALQ2,英語教育学演習XII,,1.0,,,,,,,,,,,,,,,
0ABALS1,英語教育学研究IA,,1.0,,,,,,,,,,,,,,,
0ABALS2,英語教育学研究IB,,1.0,,,,,,,,,,,,,,,
0ABALT1,英語教育学研究IIA,,1.0,,,,,,,,,,,,,,,
0ABALT2,英語教育学研究IIB,,1.0,,,,,,,,,,,,,,,
0ABALU1,英語教育学研究IIIA,,1.0,,,,,,,,,,,,,,,
0ABALU2,英語教育学研究IIIB,,1.0,,,,,,,,,,,,,,,
0ABALV1,英語教育学研究IVA,,1.0,,,,,,,,,,,,,,,
0ABALV2,英語教育学研究IVB,,1.0,,,,,,,,,,,,,,,
0ABALX1,英語教育学論文演習I,,1.0,,,,,,,,,,,,,,,
0ABALX2,英語教育学論文演習II,,1.0,,,,,,,,,,,,,,,
0ABALZ1,英語教育学プロジェクト演習 IA,,1.0,,,,,,,,,,,,,,,
0ABALZ2,英語教育学プロジェクト演習 IB,,1.0,,,,,,,,,,,,,,,
0ABALZ3,英語教育学プロジェクト演習 IIA,,1.0,,,,,,,,,,,,,,,
0ABALZ4,英語教育学プロジェクト演習 IIB,,1.0,,,,,,,,,,,,,,,
0ABC000,社会学基礎理論A,,1.0,,,,,,,,,,,,,,,
0ABC001,社会学基礎理論B,,1.0,,,,,,,,,,,,,,,
0ABC002,国際関係論A,,1.0,,,,,,,,,,,,,,,
0ABC003,国際関係論B,,1.0,,,,,,,,,,,,,,,
0ABC004,公共政策論A,,1.0,,,,,,,,,,,,,,,
0ABC005,社会開発論,,1.0,,,,,,,,,,,,,,,
0ABC006,政策評価分析,,1.0,,,,,,,,,,,,,,,
0ABC007,計量経済学I,,1.0,,,,,,,,,,,,,,,
0ABC008,計量経済学II,,1.0,,,,,,,,,,,,,,,
0ABC009,ミクロ経済学概論,,2.0,,,,,,,,,,,,,,,
0ABC010,データマネジメント,,1.0,,,,,,,,,,,,,,,
0ABC011,上級データマネジメント,,1.0,,,,,,,,,,,,,,,
0ABC012,大学院生のためのアカデミックライティング,,2.0,,,,,,,,,,,,,,,
0ABC013,研究法,,1.0,,,,,,,,,,,,,,,
0ABC014,論文作成法,,1.0,,,,,,,,,,,,,,,
0ABC100,現代政策過程分析A,,1.0,,,,,,,,,,,,,,,
0ABC101,現代政策過程分析B,,1.0,,,,,,,,,,,,,,,
0ABC102,比較政治学A,,1.0,,,,,,,,,,,,,,,
0ABC103,比較政治学B,,1.0,,,,,,,,,,,,,,,
0ABC104,国際政治理論A,,1.0,,,,,,,,,,,,,,,
0ABC105,国際政治理論B,,1.0,,,,,,,,,,,,,,,
0ABC108,国際安全保障論A,,1.0,,,,,,,,,,,,,,,
0ABC109,国際安全保障論B,,1.0,,,,,,,,,,,,,,,
0ABC110,ヨーロッパ国際関係論A,,1.0,,,,,,,,,,,,,,,
0ABC111,ヨーロッパ国際関係論B,,1.0,,,,,,,,,,,,,,,
0ABC114,東アジア政治外交A,,1.0,,,,,,,,,,,,,,,
0ABC115,東アジア政治外交B,,1.0,,,,,,,,,,,,,,,
0ABC116,国際法A,,1.0,,,,,,,,,,,,,,,
0ABC117,国際法B,,1.0,,,,,,,,,,,,,,,
0ABC120,開発人類学A,,1.0,,,,,,,,,,,,,,,
0ABC121,開発人類学B,,1.0,,,,,,,,,,,,,,,
0ABC122,文化変動論A,,1.0,,,,,,,,,,,,,,,
0ABC123,文化変動論B,,1.0,,,,,,,,,,,,,,,
0ABC124,国際機構論,,1.0,,,,,,,,,,,,,,,
0ABC125,政治哲学,,1.0,,,,,,,,,,,,,,,
0ABC126,環境社会論A,,1.0,,,,,,,,,,,,,,,
0ABC127,環境社会論B,,1.0,,,,,,,,,,,,,,,
0ABC128,平和研究,,2.0,,,,,,,,,,,,,,,
0ABC129,インド太平洋の国際関係,,1.0,,,,,,,,,,,,,,,
0ABC200,社会意識論A,,1.0,,,,,,,,,,,,,,,
0ABC201,社会意識論B,,1.0,,,,,,,,,,,,,,,
0ABC204,社会病理学,,1.0,,,,,,,,,,,,,,,
0ABC205,社会問題論,,1.0,,,,,,,,,,,,,,,
0ABC206,歴史社会学,,1.0,,,,,,,,,,,,,,,
0ABC207,文化社会学,,1.0,,,,,,,,,,,,,,,
0ABC208,都市社会学,,1.0,,,,,,,,,,,,,,,
0ABC209,地域社会学,,1.0,,,,,,,,,,,,,,,
0ABC210,社会階層論A,,1.0,,,,,,,,,,,,,,,
0ABC211,社会階層論B,,1.0,,,,,,,,,,,,,,,
0ABC212,国際社会政策論A,,1.0,,,,,,,,,,,,,,,
0ABC213,国際社会政策論B,,1.0,,,,,,,,,,,,,,,
0ABC214,教育社会学,,1.0,,,,,,,,,,,,,,,
0ABC216,社会調査方法論A,,1.0,,,,,,,,,,,,,,,
0ABC217,社会調査方法論B,,1.0,,,,,,,,,,,,,,,
0ABC218,ジェンダー社会論A,,1.0,,,,,,,,,,,,,,,
0ABC219,ジェンダー社会論B,,1.0,,,,,,,,,,,,,,,
0ABC220,科学社会学A,,1.0,,,,,,,,,,,,,,,
0ABC221,科学社会学B,,1.0,,,,,,,,,,,,,,,
0ABC301,地域調査法II,,1.0,,,,,,,,,,,,,,,
0ABC302,東南アジア・オセアニア研究概論,,1.0,,,,,,,,,,,,,,,
0ABC303,東南アジア・オセアニア人文地理学研究A,,1.0,,,,,,,,,,,,,,,
0ABC304,東南アジア・オセアニア人文地理学研究B,,1.0,,,,,,,,,,,,,,,
0ABC305,東南アジア・オセアニア政治研究A,,1.0,,,,,,,,,,,,,,,
0ABC306,東南アジア・オセアニア政治研究B,,1.0,,,,,,,,,,,,,,,
0ABC309,中央ユーラシア文化社会研究A,,1.0,,,,,,,,,,,,,,,
0ABC310,中央ユーラシア文化社会研究B,,1.0,,,,,,,,,,,,,,,
0ABC313,ヨーロッパ人文地理学研究,,1.0,,,,,,,,,,,,,,,
0ABC315,ヨーロッパ研究特講A,,1.0,,,,,,,,,,,,,,,
0ABC316,ヨーロッパ研究特講B,,1.0,,,,,,,,,,,,,,,
0ABC317,ヨーロッパ研究特講C,,1.0,,,,,,,,,,,,,,,
0ABC320,朝鮮語文化研究,,1.0,,,,,,,,,,,,,,,
0ABC321,ロシア語文化研究,,1.0,,,,,,,,,,,,,,,
0ABC322,スペイン語文献研究I,,1.0,,,,,,,,,,,,,,,
0ABC323,スペイン語文献研究II,,1.0,,,,,,,,,,,,,,,
0ABC324,東南アジア・オセアニア比較政治研究A,,1.0,,,,,,,,,,,,,,,
0ABC325,東南アジア・オセアニア比較政治研究B,,1.0,,,,,,,,,,,,,,,
0ABC326,中央ユーラシア研究特講A,,1.0,,,,,,,,,,,,,,,
0ABC327,中央ユーラシア研究特講B,,1.0,,,,,,,,,,,,,,,
0ABC328,トルコ語文化研究AI,,1.0,,,,,,,,,,,,,,,
0ABC329,トルコ語文化研究AII,,1.0,,,,,,,,,,,,,,,
0ABC400,公共政策論B,,1.0,,,,,,,,,,,,,,,
0ABC402,国際貿易論,,2.0,,,,,,,,,,,,,,,
0ABC403,公共経済学,,2.0,,,,,,,,,,,,,,,
0ABC404,ミクロ経済学,,2.0,,,,,,,,,,,,,,,
0ABC407,国際金融と政策,,2.0,,,,,,,,,,,,,,,
0ABC409,グローバル・ガバナンス論,,1.0,,,,,,,,,,,,,,,
0ABC410,公共経営論A,,1.0,,,,,,,,,,,,,,,
0ABC411,公共経営論B,,1.0,,,,,,,,,,,,,,,
0ABC412,公共哲学,,1.0,,,,,,,,,,,,,,,
0ABC415,労働経済学,,2.0,,,,,,,,,,,,,,,
0ABC416,経済学研究のためのGISと衛星データ分析,,2.0,,,,,,,,,,,,,,,
0ABC417,マクロ経済学,,2.0,,,,,,,,,,,,,,,
0ABC418,応用時系列分析,,2.0,,,,,,,,,,,,,,,
0ABC419,公共政策およびマネージメントの基礎,,2.0,,,,,,,,,,,,,,,
0ABC420,比較刑法,,1.0,,,,,,,,,,,,,,,
0ABC500,国際公共政策リサーチワークショップA,,3.0,,,,,,,,,,,,,,,
0ABC501,国際公共政策リサーチワークショップB,,3.0,,,,,,,,,,,,,,,
0ABC502,国際公共政策リサーチワークショップB,,3.0,,,,,,,,,,,,,,,
0ABC503,国際公共政策リサーチワークショップA,,3.0,,,,,,,,,,,,,,,
0ABC600,日本政治論演習A,,1.0,,,,,,,,,,,,,,,
0ABC601,日本政治論演習B,,1.0,,,,,,,,,,,,,,,
0ABC602,比較政治学演習A,,1.0,,,,,,,,,,,,,,,
0ABC603,比較政治学演習B,,1.0,,,,,,,,,,,,,,,
0ABC604,国際政治理論演習A,,1.0,,,,,,,,,,,,,,,
0ABC605,国際政治理論演習B,,1.0,,,,,,,,,,,,,,,
0ABC608,国際安全保障論演習A,,1.0,,,,,,,,,,,,,,,
0ABC609,国際安全保障論演習B,,1.0,,,,,,,,,,,,,,,
0ABC610,ヨーロッパ国際関係論演習A,,1.0,,,,,,,,,,,,,,,
0ABC611,ヨーロッパ国際関係論演習B,,1.0,,,,,,,,,,,,,,,
0ABC614,東アジア政治外交演習A,,1.0,,,,,,,,,,,,,,,
0ABC615,東アジア政治外交演習B,,1.0,,,,,,,,,,,,,,,
0ABC616,国際法演習A,,1.0,,,,,,,,,,,,,,,
0ABC617,国際法演習B,,1.0,,,,,,,,,,,,,,,
0ABC620,開発人類学演習A,,1.0,,,,,,,,,,,,,,,
0ABC621,開発人類学演習B,,1.0,,,,,,,,,,,,,,,
0ABC622,文化変動論演習A,,1.0,,,,,,,,,,,,,,,
0ABC623,文化変動論演習B,,1.0,,,,,,,,,,,,,,,
0ABC624,政策評価分析演習A,,1.0,,,,,,,,,,,,,,,
0ABC625,政策評価分析演習B,,1.0,,,,,,,,,,,,,,,
0ABC626,国際機構論演習,,1.0,,,,,,,,,,,,,,,
0ABC627,政治哲学演習,,1.0,,,,,,,,,,,,,,,
0ABC628,環境社会論演習A,,1.0,,,,,,,,,,,,,,,
0ABC629,環境社会論演習B,,1.0,,,,,,,,,,,,,,,
0ABC630,インド太平洋の国際関係演習,,1.0,,,,,,,,,,,,,,,
0ABC700,社会意識論演習A,,1.0,,,,,,,,,,,,,,,
0ABC701,社会意識論演習B,,1.0,,,,,,,,,,,,,,,
0ABC704,社会病理学演習,,1.0,,,,,,,,,,,,,,,
0ABC705,社会問題論演習,,1.0,,,,,,,,,,,,,,,
0ABC706,歴史社会学演習,,1.0,,,,,,,,,,,,,,,
0ABC707,文化社会学演習,,1.0,,,,,,,,,,,,,,,
0ABC708,都市社会学演習,,1.0,,,,,,,,,,,,,,,
0ABC709,地域社会学演習,,1.0,,,,,,,,,,,,,,,
0ABC710,社会階層論演習A,,1.0,,,,,,,,,,,,,,,
0ABC711,社会階層論演習B,,1.0,,,,,,,,,,,,,,,
0ABC712,国際社会政策論演習A,,1.0,,,,,,,,,,,,,,,
0ABC713,国際社会政策論演習B,,1.0,,,,,,,,,,,,,,,
0ABC714,教育社会学演習,,1.0,,,,,,,,,,,,,,,
0ABC717,社会調査方法論演習B,,1.0,,,,,,,,,,,,,,,
0ABC718,ジェンダー社会論演習A,,1.0,,,,,,,,,,,,,,,
0ABC719,ジェンダー社会論演習B,,1.0,,,,,,,,,,,,,,,
0ABC720,科学社会学演習A,,1.0,,,,,,,,,,,,,,,
0ABC721,科学社会学演習B,,1.0,,,,,,,,,,,,,,,
0ABC800,東南アジア・オセアニア研究演習AI,,1.0,,,,,,,,,,,,,,,
